ProjectNumber,BudgetYear,CostType,CostAmount
4908,2002,Material,1355214.81
4909,2005,Labor,0
4910,2002,Labor,2852.14
4910,2002,Material,224164.08
4910,2003,Labor,1520.48
4910,2003,Material,18555.24
4913,2002,Labor,723.06
4913,2002,Material,113822.12
4913,2003,Labor,577.67
4913,2003,Material,74797.05
4913,2004,Labor,3285.69
4913,2004,Material,95449.66
4913,2005,Labor,7436.41
4913,2005,Material,102284.33
4913,2006,Labor,1640.18
4913,2006,Material,164701.79
4913,2007,Labor,224.48
4913,2007,Material,48710.53
4913,2008,Labor,1116.88
4913,2008,Material,56277.59
4913,2009,Labor,4969.9
4913,2009,Material,79486.06
4913,2010,Labor,2135.15
4913,2010,Material,63375.05
4913,2011,Labor,736.88
4913,2011,Material,58482.29
4913,2012,Labor,1551.14
4913,2012,Material,23750.54
4913,2013,Labor,533.67
4913,2013,Material,71333.46
4913,2014,Labor,1670.94
4913,2014,Material,60991.6
4913,2015,Labor,928.34
4913,2015,Material,77051.4
4913,2016,Labor,38.25
4913,2016,Material,52947.95
4913,2017,Material,72617.34
4913,2018,Labor,2554.37
4913,2018,Material,72077.74
4913,2019,Labor,2154.35
4913,2019,Material,19831.99
4914,2002,Material,80924.92
4922,2002,Material,657.12
4925,2002,Material,24552.85
4927,2001,Material,2356
4927,2002,Labor,14832.95
4927,2002,Material,1470607.59
4927,2003,Labor,38495.21
4927,2003,Material,3891069.07
4927,2004,Labor,10390.51
4927,2004,Material,70242.88
4927,2005,Labor,1958.49
4927,2005,Material,7995.6
4928,2002,Material,134660.74
4928,2003,Labor,163.81
4928,2005,Labor,0
4928,2006,Labor,382.01
4933,2002,Labor,32862.55
4933,2002,Material,195946.12
4933,2003,Labor,33430.96
4933,2003,Material,5615.74
4933,2006,Material,33320
4933,2007,Labor,4936.72
4933,2007,Material,91990.75
4933,2008,Labor,23668.76
4933,2008,Material,92881.5
4933,2009,Labor,13494.21
4933,2009,Material,134620.11
4933,2010,Material,132643.38
4933,2011,Material,32600
4933,2013,Material,90860
4933,2014,Material,105406.58
4933,2015,Material,38384.38
4934,2002,Labor,669.34
4934,2002,Material,90358.67
4934,2003,Labor,3525.35
4934,2003,Material,10432.75
4934,2004,Labor,13135.45
4934,2004,Material,148951.01
4934,2005,Labor,30.38
4934,2005,Material,3341.55
4935,2002,Material,111457.64
4936,2002,Material,205369.41
4936,2004,Labor,60.34
4936,2004,Material,871.3
4939,2002,Material,55399.58
4940,2002,Material,23906.07
4940,2003,Labor,1501.96
4940,2003,Material,5642
4942,2002,Labor,95.36
4942,2002,Material,128417.35
4942,2003,Material,1844.89
4943,2002,Labor,744.59
4943,2002,Material,35443.79
4943,2003,Labor,1530.6
4943,2003,Material,29108.25
4943,2004,Labor,3830.54
4943,2004,Material,40195.98
4943,2005,Labor,9926.08
4943,2005,Material,30944.1
4943,2006,Labor,17477.4
4943,2006,Material,42368.77
4943,2007,Labor,22859.42
4943,2007,Material,50347.95
4943,2008,Labor,20555.18
4943,2008,Material,47070.26
4943,2009,Labor,21808.25
4943,2009,Material,39811.64
4943,2010,Labor,26395.26
4943,2010,Material,101273.29
4943,2011,Labor,36996.58
4943,2011,Material,83004.47
4943,2012,Labor,46458.34
4943,2012,Material,66347.91
4943,2013,Labor,48696.8
4943,2013,Material,83566.66
4943,2014,Labor,69145.38
4943,2014,Material,141351.46
4943,2015,Labor,58248.63
4943,2015,Material,88760.84
4943,2016,Labor,52939.29
4943,2016,Material,67754.9
4943,2017,Labor,20884.54
4943,2017,Material,25753.49
4943,2018,Labor,25497.78
4943,2018,Material,43841.71
4943,2019,Labor,10095.32
4943,2019,Material,15769.61
4944,2002,Material,21395.49
4944,2003,Labor,27.49
4944,2003,Material,9449.62
4944,2004,Labor,370.41
4944,2004,Material,14576.13
4944,2005,Labor,3507.03
4944,2005,Material,24877.88
4944,2006,Labor,9855.34
4944,2006,Material,2903.3
4944,2007,Labor,22121.57
4944,2007,Material,54797.41
4944,2008,Labor,43000.18
4944,2008,Material,73368
4944,2009,Labor,28658.58
4944,2009,Material,83792.25
4944,2010,Labor,32844.86
4944,2010,Material,62844.42
4944,2011,Labor,42602.56
4944,2011,Material,45979.77
4944,2012,Labor,52263.46
4944,2012,Material,35124.15
4944,2013,Labor,47437.31
4944,2013,Material,27272.81
4944,2014,Labor,51134.66
4944,2014,Material,22466.98
4944,2015,Labor,40874.98
4944,2015,Material,31743.86
4944,2016,Labor,33892.74
4944,2016,Material,22530.82
4944,2017,Labor,14299.98
4944,2017,Material,14412.6
4944,2018,Labor,11519.64
4944,2018,Material,14569.15
4944,2019,Labor,3793.63
4944,2019,Material,3090.25
4945,2002,Material,8770.7
4945,2004,Labor,775.2
4945,2004,Material,8600.55
4945,2005,Labor,35281.25
4945,2005,Material,6861.45
4945,2006,Labor,113859.81
4945,2006,Material,45973.41
4945,2007,Labor,84696.06
4945,2007,Material,63710.56
4945,2008,Labor,38303.67
4945,2008,Material,29234.26
4945,2009,Labor,2856.82
4945,2009,Material,45871.23
4945,2010,Labor,34583.94
4945,2010,Material,16485.88
4945,2011,Labor,78201.28
4945,2011,Material,7291.76
4945,2012,Labor,47086.1
4945,2012,Material,235.15
4945,2013,Labor,19741.32
4945,2013,Material,18499.13
4945,2014,Labor,71868.83
4945,2014,Material,39668.89
