ProjectId,ProjectName,PlantingYear,MaterialType,Units,LatinName,SpeciesCategory,SpeciesType,WetlandIndicatorCode,StockType
1080,Fanno Creek - Greenway Park,2013,Symphoricarpos albus (Common Snowberry) - Bare Root,500,Symphoricarpos albus,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2013,Pseudotsuga menziesii (Douglas Fir) - Bare Root,100,Pseudotsuga menziesii,Native Woody,Tree,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2013,Physocarpus capitatus (Pacific Ninebark) - Bare Root,1000,Physocarpus capitatus,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2013,Spiraea douglasii (Douglas Spiraea) - Bare Root,500,Spiraea douglasii,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2013,Rosa pisocarpa (Swamp rose) - Bare Root,1000,Rosa pisocarpa,Native Woody,Shrub,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2013,Crataegus douglasii (Black Hawthorn) - Bare Root,500,Crataegus douglasii,Native Woody,Tree,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2013,Lonicera involucrata (Black Twinberry) - Bare Root,1000,Lonicera involucrata,Native Woody,Shrub,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2013,Sambucus racemosa (Red Elderberry) - Bare Root,600,Sambucus racemosa,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2013,Quercus garryana (Oregon White Oak) - Bare Root,100,Quercus garryana,Native Woody,Tree,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2013,Thuja plicata (Western red cedar) - Bare Root,100,Thuja plicata,Native Woody,Tree,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2013,Polysticum munitum (Western Sword Fern) - Container,20,Polystichum munitum,Native Herbaceous,Fern,FACU,Container
1080,Fanno Creek - Greenway Park,2013,Salix lasiandra (Pacific Willow) - Live Stakes (On-Site),500,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Live Stakes (On-Site)
1080,Fanno Creek - Greenway Park,2013,Lonicera involucrata (Black Twinberry) - Container,10,Lonicera involucrata,Native Woody,Shrub,FAC,Container
1080,Fanno Creek - Greenway Park,2013,Rubus parviflorus (Thimbleberry) - Container,50,Rubus parviflorus,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2013,Salix piperi (Piper Willow) - Live Stakes (On-Site),500,Salix piperi,Not Listed,Not Listed,Not Listed,Live Stakes (On-Site)
1080,Fanno Creek - Greenway Park,2013,Salix scouleriana (Scoulers Willow) - Live Stakes (On-Site),500,Salix scouleriana,Native Woody,Shrub,FAC,Live Stakes (On-Site)
1080,Fanno Creek - Greenway Park,2013,Salix sitchensis (Sitka Willow) - Live Stakes (On-Site),500,Salix sitchensis,Native Woody,Shrub,FACW,Live Stakes (On-Site)
1080,Fanno Creek - Greenway Park,2013,Symphoricarpos albus (Common Snowberry) - Container,50,Symphoricarpos albus,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2013,Spiraea douglasii (Douglas Spiraea) - Container,10,Spiraea douglasii,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2013,Physocarpus capitatus (Pacific Ninebark) - Container,100,Physocarpus capitatus,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2013,Cornus sericea (Red osier dogwood) - Live Stakes (On-Site),1000,Cornus sericea,Native Woody,Shrub,FACW,Live Stakes (On-Site)
1080,Fanno Creek - Greenway Park,2014,Malus fusca (Western crabapple) - Bare Root,100,Malus fusca,Native Woody,Tree,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2014,Abies grandis (Grand fir) - Bare Root,100,Abies grandis,Native Woody,Tree,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2014,Rosa pisocarpa (Swamp rose) - Bare Root,800,Rosa pisocarpa,Native Woody,Shrub,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2014,Mahonia aquifolium (Tall Oregon grape) - Bare Root,300,Mahonia aquifolium,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2014,Crataegus douglasii (Black Hawthorn) - Bare Root,300,Crataegus douglasii,Native Woody,Tree,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2014,Populus trichocarpa (Black cottonwood) - Bare Root,50,Populus trichocarpa,Native Woody,Tree,NI,Bare Root
1080,Fanno Creek - Greenway Park,2014,Cornus sericea (Red osier dogwood) - Bare Root,775,Cornus sericea,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2014,Physocarpus capitatus (Pacific Ninebark) - Bare Root,600,Physocarpus capitatus,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2014,Spiraea douglasii (Douglas Spiraea) - Bare Root,550,Spiraea douglasii,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2014,Symphoricarpos albus (Common Snowberry) - Bare Root,675,Symphoricarpos albus,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2014,Rubus parviflorus (Thimbleberry) - Bare Root,600,Rubus parviflorus,Native Woody,Shrub,FACU,Bare Root
